Solids,Young's modulus,Poisson's ratio,Knoop hardness,Conductivity,Specific heat,Density,Brinell hardness,Vickers hardness,Knoop hardness,sigma y,sigma u,delta,CTE,Melting point,Softening point,emissivity,ref.
Symbol,E,n,HK or Hc,k,Cp,,,Hv,HK or Hc,,,strain_u,,,,e,
Unit,[Pa],[-],[Pa], [W/m·K],[J/kgK],[kg/m3],,,[kgf/mm2],[MPa],[MPa],[%],[um/mK],[°C],[°C],,
Al 1180,6.70E+10,0.33,1.32E+09,238,900,2700,116,120,135,,,,23.5,,,0.10,1
Al1050,6.89E+10,0.33,1.15E+09,212,893,2700,95,105,117,288,310,,,,,,
Al2024-T4,7.31E+10,0.33,1.47E+09,121,875,2780,120,137,150,260,395,10%,23.2,,,0.10,
Al 6061-T6,7.04E+10,0.33,1.17E+09,155,943,2700,95,107,120,288,310,,,,,,1
Al6082-T6,7.10E+10,0.33,1.10E+09,170,894,2710,91,100,112,250,290,10%,23.5,555,,,
Al7075-T5,7.11E+10,0.33,1.87E+09,130,960,2810,150,175,191,462,572,11%,23.4,477,,0.10,
Cu110,1.15E+11,0.33,9.90E+08,388,385,8300,82,90,101,65,325,40%,17.0,1065,360,0.10,
OFHC100,1.15E+11,0.31,9.89E+08,397,389,8899,82,90,100.839214698496,69,221,55%,,1083,,,
Mo,3.30E+11,0.38,2.40E+09,138,255,10220,225,230,245,400,350,,5.4,2617,,,
GaAs,8.55E+10,0.31,Err:522,55,325,5316,620,680,Err:522,,,,5.4,1237,,,
Si,1.30E+11,0.28,1.13E+10,124,713,2330,930,1025,1150,,,,2.5,,,,
InP,6.10E+10,0.36,4.10E+09,68,310,4787,340,375,418,,,,4.6,1057,,,
Ta,1.86E+11,0.35,1.10E+09,55,153,16650,95,100,112,,450,,6.5,2996,,,
SS 304,1.93E+11,0.29,1.35E+09,16.2,500,8000,123,129,138,215,505,70%,17.3,1400,,,
SS 316,1.95E+11,0.30,1.65E+09,15,485,7799,149,155,169,290,580,50%,,1370,,,
Ti6Al4V,1.14E+11,0.34,5.50E+09,6.7,526,4430,334,349,561,880,950,14%,8.6,1604,980,,
ZrO2,2.10E+11,0.30,5.50E+09,2.2,,,,,,,,,,,,,
invar an.,1.41E+11,0.23,1.30E+09,10,,,,,,,,,,,,0.20,1
invar c.d.,1.48E+11,0.23,2.09E+09,10,,,,,,,,,,,,0.20,1
Al2O3,3.70E+11,0.22,1.96E+10,31,750,3960,,,2000,,,,8.2,,,,
SiO2,7.00E+10,0.17,8.04E+09,1.4,700,2200,,,820,,,,,,,,
ZnSe,7.04E+10,0.28,1.10E+10,14,339,5270,,999,1121,,,,,,,,
zerodur,9.03E+10,0.243,6.20E+09,1.46,,,,,,,,,0.1,,,0.99,1
